"Date","Price","Open","High","Low","Vol.","Change %"
"06/17/2024","2,329.00","2,348.50","2,348.70","2,324.30","122.70K","-0.86%"
"06/14/2024","2,349.10","2,319.60","2,352.30","2,316.70","163.37K","1.34%"
"06/13/2024","2,318.00","2,340.90","2,342.40","2,310.90","182.66K","-1.56%"
"06/12/2024","2,354.80","2,334.00","2,358.80","2,327.20","241.67K","1.21%"
"06/11/2024","2,326.60","2,329.50","2,337.30","2,314.50","145.50K","-0.02%"
"06/10/2024","2,327.00","2,311.00","2,331.30","2,304.50","142.89K","0.09%"
"06/07/2024","2,325.00","2,395.70","2,406.70","2,304.20","314.55K","-2.76%"
"06/06/2024","2,390.90","2,375.30","2,397.80","2,372.20","172.20K","0.65%"
"06/05/2024","2,375.50","2,347.10","2,377.60","2,345.30","171.86K","1.20%"
"06/04/2024","2,347.40","2,371.30","2,373.10","2,335.10","171.55K","-0.92%"
"06/03/2024","2,369.30","2,348.00","2,375.50","2,334.80","173.15K","1.00%"
"05/31/2024","2,345.80","2,364.50","2,381.20","2,341.10","183.41K","-0.87%"
"05/30/2024","2,366.50","2,361.00","2,373.70","2,343.30","188.89K","0.62%"
"05/29/2024","2,352.00","2,372.90","2,373.50","2,346.00","2.83K","-0.65%"
"05/28/2024","2,367.30","2,348.70","2,375.20","2,347.70","1.49K","0.46%"
"05/27/2024","2,356.50","2,338.00","2,365.50","2,333.80","105.47K","0.47%"
"05/24/2024","2,345.40","2,341.50","2,357.10","2,339.10","0.69K","-0.12%"
"05/23/2024","2,348.20","2,393.20","2,395.30","2,340.00","1.14K","-2.31%"
"05/22/2024","2,403.70","2,436.30","2,440.00","2,392.10","0.71K","-1.36%"
"05/21/2024","2,436.90","2,442.30","2,448.40","2,420.20","0.54K","-0.51%"
"05/20/2024","2,449.50","2,438.60","2,464.50","2,425.60","0.70K","0.86%"
"05/17/2024","2,428.60","2,392.80","2,433.60","2,389.20","0.27K","1.34%"
"05/16/2024","2,396.40","2,401.00","2,413.10","2,387.00","0.36K","-0.39%"
"05/15/2024","2,405.80","2,372.20","2,406.30","2,370.90","0.35K","1.48%"
"05/14/2024","2,370.60","2,354.60","2,375.70","2,352.30","0.16K","0.71%"
"05/13/2024","2,353.80","2,379.80","2,380.60","2,349.50","0.15K","-1.33%"
"05/10/2024","2,385.60","2,363.10","2,390.80","2,363.10","0.24K","1.48%"
"05/09/2024","2,350.90","2,331.80","2,361.00","2,330.50","0.05K","0.78%"
"05/08/2024","2,332.80","2,335.40","2,336.50","2,323.20","0.13K","-0.09%"
"05/07/2024","2,334.80","2,344.80","2,346.10","2,329.40","0.11K","-0.29%"
"05/06/2024","2,341.60","2,326.10","2,348.30","2,326.10","0.07K","0.97%"
"05/03/2024","2,319.10","2,323.70","2,338.90","2,298.10","0.06K","-0.04%"
"05/02/2024","2,320.00","2,340.90","2,341.70","2,307.70","0.27K","-0.06%"
"05/01/2024","2,321.50","2,308.80","2,349.90","2,303.50","0.32K","0.35%"
"04/30/2024","2,313.40","2,335.20","2,335.20","2,307.00","0.16K","-2.39%"
"04/29/2024","2,370.00","2,369.70","2,380.70","2,353.50","9.15K","0.97%"
"04/26/2024","2,347.20","2,344.20","2,364.40","2,338.00","171.01K","0.20%"
"04/25/2024","2,342.50","2,327.40","2,357.60","2,316.40","224.47K","0.18%"
"04/24/2024","2,338.40","2,335.70","2,350.90","2,324.80","187.70K","-0.16%"
"04/23/2024","2,342.10","2,342.30","2,347.90","2,304.60","270.23K","-0.18%"
"04/22/2024","2,346.40","2,403.70","2,404.30","2,338.20","262.67K","-2.79%"
"04/19/2024","2,413.80","2,394.00","2,433.30","2,386.80","275.41K","0.66%"
"04/18/2024","2,398.00","2,377.90","2,408.00","2,377.20","200.55K","0.40%"
"04/17/2024","2,388.40","2,398.00","2,412.00","2,370.70","284.35K","-0.81%"
"04/16/2024","2,407.80","2,399.10","2,414.80","2,379.20","297.59K","1.04%"
"04/15/2024","2,383.00","2,369.40","2,404.30","2,340.20","343.73K","0.37%"
